subject,fold,1,2,3,4,5,6,7,8,9,10,feature drop rate,heuristic quality,planning depth,elo
171:R_1Qck2ykGDls2DLz,1,10000,1,0.36542,0.055006,0.49906,0.79874,1.397,-0.23148,3.9772,9.909,0.36542,0.516228119101029,0.0,-45
171:R_1Qck2ykGDls2DLz,2,10000,1,0.19995,0.05,0.4502,0.80078,1.001,0.40039,3.501,10.0,0.19995,0.554885133299538,0.0,-45
171:R_1Qck2ykGDls2DLz,3,10000,1,0.46856,0.050094,0.60988,0.77211,1.124,-0.2989,4.019,9.967,0.46856,0.5262399637311601,0.0,-45
171:R_1Qck2ykGDls2DLz,4,10000,1,0.68155,0.05,0.66521,0.93273,2.8961,-1.0615,6.9278,-2.1692,0.68155,0.4900809748718285,0.0,-45
171:R_1Qck2ykGDls2DLz,5,10000,1,0.39228,0.056035,0.57991,0.64894,1.6655,-0.20559,4.5219,10.0,0.39228,0.5419396369970158,0.0,-45
175:R_2vjnTMhG0Bpa7wq,1,10000,1,0.49623,0.10105,0.78248,0.89623,2.0258,1.2761,9.6394,2.2277,0.49623,0.6254328186892689,0.0,85
175:R_2vjnTMhG0Bpa7wq,2,10000,1,0.40345,0.053295,0.62315,0.69969,1.8745,0.76617,9.945,9.9724,0.40345,0.6553569494329045,0.0,85
175:R_2vjnTMhG0Bpa7wq,3,10000,1,0.24384,0.060828,0.65661,0.63425,1.7521,0.32343,7.2015,9.8859,0.24384,0.6218733670440045,0.0,85
175:R_2vjnTMhG0Bpa7wq,4,10000,1,0.30544,0.14199,0.64839,0.93336,1.5447,0.75534,7.7679,4.4851,0.30544,0.632736118638742,0.0,85
175:R_2vjnTMhG0Bpa7wq,5,10000,1,0.33862,0.069502,0.61748,0.84902,1.7501,1.1051,7.8048,9.862,0.33862,0.6522086082990336,0.0,85
179:R_2xV1IwgJyplwuvp,1,10000,1,0.75285,0.30881,1.8594,0.59741,3.7,-4.9889,6.6989,-5.4825,0.75285,0.24363541433607822,0.0,-180
179:R_2xV1IwgJyplwuvp,2,10000,1,0.0027466,0.05,1.8251,9.7217,-1.6736,8.6316,-4.3457,-8.3899,0.0027466,0.02721181107361567,0.0,-180
179:R_2xV1IwgJyplwuvp,3,10000,1,0.15063,0.21275,0.97388,-0.24414,1.1816,-0.64453,8.374,10.0,0.15063,0.509307442899997,0.0,-180
179:R_2xV1IwgJyplwuvp,4,10000,1,0.38564,0.30824,1.0068,0.46055,1.0539,-0.57243,3.2115,9.9997,0.38564,0.45838909284255724,0.0,-180
179:R_2xV1IwgJyplwuvp,5,10000,1,0.00075767,0.052043,0.98166,10.0,-4.9963,10.0,-9.9981,-1.6047,0.00075767,0.08517565958183067,0.0,-180
180:R_1OGFPUUh0z8rWBh,1,10000,1,0.48371,0.16819,2.6623,0.13523,1.1767,-0.97654,3.9919,9.9337,0.48371,0.2854017358239899,0.0,-70
180:R_1OGFPUUh0z8rWBh,2,10000,1,0.59592,0.16686,2.8444,0.047855,1.3171,-3.697,5.3219,9.6421,0.59592,0.22309731087505066,0.0,-70
180:R_1OGFPUUh0z8rWBh,3,10000,1,0.55698,0.12175,1.9052,0.37072,1.4828,-1.8204,4.7232,9.9544,0.55698,0.30824782434760944,0.0,-70
180:R_1OGFPUUh0z8rWBh,4,10000,1,0.58485,0.16092,1.3331,0.29336,1.9549,-5.5899,7.9803,9.9996,0.58485,0.27988913243923996,0.0,-70
180:R_1OGFPUUh0z8rWBh,5,10000,1,0.60243,0.11825,1.8801,-0.012686,1.5056,-5.9439,8.2101,9.829,0.60243,0.248640494192995,0.0,-70
181:R_3fDgQlApbcv1n4e,1,10000,1,0.39594,0.050385,0.95922,0.40838,1.6232,0.6709,8.4956,7.9303,0.39594,0.5787330255671702,0.0,219
181:R_3fDgQlApbcv1n4e,2,10000,1,0.45232,0.056569,1.0591,0.70056,1.6,0.8614,6.7178,9.2197,0.45232,0.5503594178124063,0.0,219
181:R_3fDgQlApbcv1n4e,3,10000,1,0.46117,0.051216,0.87245,0.65535,2.3154,1.4954,9.9948,4.0055,0.46117,0.6082731554984714,0.0,219
181:R_3fDgQlApbcv1n4e,4,10000,1,0.41651,0.05,0.83437,0.74302,1.6408,1.0667,8.3602,10.0,0.41651,0.6143310757913131,0.0,219
181:R_3fDgQlApbcv1n4e,5,10000,1,0.53907,0.050119,1.265,0.70975,1.4977,0.58741,7.0263,9.9981,0.53907,0.5042487106041954,0.0,219
182:R_3NEgCFlK1BFSmdZ,1,10000,1,0.39761,0.050011,1.3198,0.12858,1.6471,-0.32126,5.8891,-3.7702,0.39761,0.4541274835379041,0.0,319
182:R_3NEgCFlK1BFSmdZ,2,10000,1,0.34638,0.050011,1.3181,0.14057,2.0448,0.53121,5.4793,8.9048,0.34638,0.45532945207204284,0.0,319
182:R_3NEgCFlK1BFSmdZ,3,10000,1,0.55239,0.050026,1.1688,0.021793,3.0127,-9.9995,9.0742,9.5668,0.55239,0.22587278670634778,0.0,319
182:R_3NEgCFlK1BFSmdZ,4,10000,1,0.39802,0.053602,1.051,-0.50588,2.6215,-1.7244,8.7094,4.0608,0.39802,0.4365203409460469,0.0,319
182:R_3NEgCFlK1BFSmdZ,5,10000,1,0.27212,0.050001,1.3821,0.2905,1.3067,0.33923,3.9178,9.9978,0.27212,0.45428907889538417,0.0,319
183:R_2uPQbPniskmS0Ep,1,10000,1,0.51728,0.053541,1.321,0.043454,1.961,-2.4623,7.03,5.6928,0.51728,0.3651117944459389,0.0,198
183:R_2uPQbPniskmS0Ep,2,10000,1,0.55956,0.05,1.1435,0.39948,2.9129,0.9848,7.645,10.0,0.55956,0.49658040183110436,0.0,198
183:R_2uPQbPniskmS0Ep,3,10000,1,0.56493,0.050014,1.2096,0.033722,2.4765,-1.4667,6.4169,9.37,0.56493,0.40298714058127,0.0,198
183:R_2uPQbPniskmS0Ep,4,10000,1,0.56255,0.05,1.0723,0.44042,1.9431,-0.4169,7.4638,9.9655,0.56255,0.504945032181531,0.0,198
183:R_2uPQbPniskmS0Ep,5,10000,1,0.52211,0.050285,0.9939,0.40627,3.2733,-0.097288,9.9982,9.9895,0.52211,0.5191134292996633,0.0,198
187:R_3oHOHstFKN4HiLA,1,10000,1,0.49386,0.050089,1.3787,-1.6881,1.5977,-1.4994,9.6793,8.0312,0.49386,0.3739326534513513,0.0,66
187:R_3oHOHstFKN4HiLA,2,10000,1,0.28687,0.079907,0.84644,-1.2744,1.6992,-1.709,5.2686,8.7451,0.28687,0.3418143536521157,0.0,66
187:R_3oHOHstFKN4HiLA,3,10000,1,0.392,0.05001,0.90752,-0.31756,1.3706,-0.26997,5.8833,9.832,0.392,0.5266505415083418,0.0,66
187:R_3oHOHstFKN4HiLA,4,10000,1,0.41985,0.1227,0.73632,-1.9911,3.1132,0.55214,8.5014,6.9156,0.41985,0.4559339389716056,0.0,66
187:R_3oHOHstFKN4HiLA,5,10000,1,0.35586,0.057107,0.89529,-0.48062,1.9976,0.074342,10.0,7.2243,0.35586,0.5534597102597179,0.0,66
192:R_1LeQOpZ9pat1k7D,1,10000,1,0.33096,0.064888,0.45529,0.7626,1.0606,1.4799,5.3597,1.5868,0.33096,0.6529355595787568,0.0,141
192:R_1LeQOpZ9pat1k7D,2,10000,1,0.3208,0.050622,0.25024,0.70312,1.4258,0.21484,5.5322,9.7656,0.3208,0.5729322626909049,0.0,141
192:R_1LeQOpZ9pat1k7D,3,10000,1,0.11205,0.12888,0.35306,0.81105,1.3856,2.0055,8.223,8.1239,0.11205,0.6800359271254166,0.0,141
192:R_1LeQOpZ9pat1k7D,4,10000,1,0.19995,0.05,0.4502,0.80078,1.001,0.40039,3.501,10.0,0.19995,0.554885133299538,0.0,141
192:R_1LeQOpZ9pat1k7D,5,10000,1,0.39001,0.05,0.487,0.71899,1.1523,1.051,3.7854,8.3301,0.39001,0.6056560522730631,0.0,141
194:R_24rdiskqYQc7BsO,1,10000,1,0.44995,0.05,1.2002,0.80078,1.001,0.40039,8.501,10.0,0.44995,0.5183556627953709,0.0,144
194:R_24rdiskqYQc7BsO,2,10000,1,0.53791,0.074797,1.4956,0.85021,1.267,-0.47858,6.1847,7.8355,0.53791,0.4395445090378097,0.0,144
194:R_24rdiskqYQc7BsO,3,10000,1,0.41085,0.053068,0.98298,0.72668,1.1554,0.53914,7.1476,9.0616,0.41085,0.5674351450482932,0.0,144
194:R_24rdiskqYQc7BsO,4,10000,1,0.40191,0.068353,1.3854,0.60901,1.1018,-0.091749,6.0053,8.6858,0.40191,0.472745260662686,0.0,144
194:R_24rdiskqYQc7BsO,5,10000,1,0.50804,0.052821,1.3926,0.73897,1.0739,-0.12904,5.5577,10.0,0.50804,0.4671908423373013,0.0,144
196:R_0voL9dLPRpILrS9,1,10000,1,3.331e-05,0.057273,1.5661,8.9178,3.9072,1.2871,-5.3662,-3.567,3.331e-05,0.03253527961728994,0.0,-178
196:R_0voL9dLPRpILrS9,2,10000,1,8.4785e-09,0.05,1.8714,-6.188,-4.4802,7.0448,-3.8486,10.0,8.4785e-09,0.18805288646526863,0.0,-178
196:R_0voL9dLPRpILrS9,3,10000,1,0.0,0.050014,2.3241,9.8987,-4.8596,5.6946,-8.2556,8.3362,0.0,0.13066646972464604,0.0,-178
196:R_0voL9dLPRpILrS9,4,10000,1,2.6682e-06,0.050282,2.6773,-9.9979,-9.9999,7.5753,-3.9358,-9.9762,2.6682e-06,0.17062539962166723,0.0,-178
196:R_0voL9dLPRpILrS9,5,10000,1,1.2853e-06,0.050021,2.4734,4.4599,9.9998,-1.284,-3.0364,-6.902,1.2853e-06,0.07177994093257027,0.0,-178
197:R_bqny5leXGykyp0t,1,10000,1,0.00010031,0.050007,1.8359,-9.9888,-3.8779,4.8225,-9.676,8.4347,0.00010031,0.27585214396158264,0.0,-180
197:R_bqny5leXGykyp0t,2,10000,1,0.00023658,0.050385,1.7618,-8.2835,-2.108,9.9938,-4.9434,9.9949,0.00023658,0.17770464455336313,0.0,-180
197:R_bqny5leXGykyp0t,3,10000,1,3.5259e-05,0.05017,1.6006,-7.4183,-3.4876,8.9486,-7.3811,6.975,3.5259e-05,0.2194947426242753,0.0,-180
197:R_bqny5leXGykyp0t,4,10000,1,1.8023e-08,0.05,1.9274,-9.962,-6.8258,8.6313,-9.0453,4.6196,1.8023e-08,0.2304506246583418,0.0,-180
197:R_bqny5leXGykyp0t,5,10000,1,0.0,0.05,2.9023,6.7188,-5.8398,7.4854,-4.1064,-2.0752,0.0,0.10470326514337008,0.0,-180
199:R_D1Afhly6eOCY66B,1,10000,1,0.35218,0.050519,0.57992,0.36784,3.6015,1.4346,8.2794,6.6643,0.35218,0.6062981472606278,0.0,222
199:R_D1Afhly6eOCY66B,2,10000,1,0.24362,0.05,0.53315,0.33281,2.2421,1.2351,6.6263,9.8372,0.24362,0.6564768528266792,0.0,222
199:R_D1Afhly6eOCY66B,3,10000,1,0.23849,0.05,0.47226,0.36804,2.6626,1.0032,7.5314,9.9946,0.23849,0.6401660173956774,0.0,222
199:R_D1Afhly6eOCY66B,4,10000,1,0.22848,0.050655,0.48787,0.22768,2.828,1.0051,9.87,9.9859,0.22848,0.6660212316969703,0.0,222
199:R_D1Afhly6eOCY66B,5,10000,1,0.24203,0.10068,0.60333,0.37588,2.0014,0.96104,6.0797,7.4524,0.24203,0.6444656836639961,0.0,222
200:R_1NCzjmN3Hl5r3HF,1,10000,1,0.37547,0.051143,0.48869,0.48279,0.76836,0.49039,4.9239,9.483,0.37547,0.6687553013914903,0.0,58
200:R_1NCzjmN3Hl5r3HF,2,10000,1,2.459e-07,0.05,2.0512,9.8702,-3.047,9.9744,-9.9999,-7.99,2.459e-07,0.1269616857529607,0.0,58
200:R_1NCzjmN3Hl5r3HF,3,10000,1,0.0,0.05,2.2988,10.0,-0.043945,10.0,-3.8037,-7.2559,0.0,0.016642530532233753,0.0,58
