subject,main,no tree
875,59.11033395879718,48.06561273225513
876,57.68007636755141,46.45828574050578
877,58.32047919626268,47.47128264904555
878,55.6748611675462,45.79497639166408
883,59.73178381979562,49.257210962086496
884,58.37401735543077,47.22665212223008
889,57.93245427739568,47.00893407518287
890,59.214467202798474,48.05884088088285
891,59.997939818323225,49.17866204053219
892,58.64889225445669,47.83440362812676
893,58.79463088758833,47.722072435392555
A101,58.11428819079635,47.201867643546166
A103,58.53060966826671,47.29793033623939
A1046,59.21673070109486,48.06237715346848
A1052,56.44784552683464,45.680603694194986
A1068,60.004364002462964,49.12433150966268
A1083,58.57936158092745,47.27976293995563
A1084,60.06487829710502,48.82732137007838
A1088,61.44045978825823,50.46859082712227
A1098,59.01020337537021,47.83226454903566
A1099,59.05566062391762,47.73216280875753
A1107,61.1542922346801,50.13766947547642
A112,58.68644900130671,47.350746690757305
A1124,57.92501816431754,47.360550721930224
A1142,60.42435912589407,49.28117381234316
A1144,59.180240500070724,48.33204397900395
A1145,62.26721043412013,50.37345118753279
A115,59.178973281142106,48.08707261668323
A1155,58.92886622422117,47.97839536469803
A1156,59.00460673671475,48.53356118769113
A1157,57.16323638822354,46.207715233027805
A1164,57.999968336100906,46.97221522443628
A1169,61.21710141079469,50.420267795302415
A1176,58.97769374385236,47.578928426816205
A1177,60.36551184476788,49.103698985248265
A1183,57.23252123728616,46.327469442659115
A1184,56.515706008214984,45.95850260761911
A1186,57.45304911848592,46.558992597114326
A1189,57.58207846460599,46.48402746652047
A1190,58.68408635247596,47.553405115038615
A1195,58.66668923390448,48.09199638712359
A1198,60.213125486897034,49.03167554741236
A1203,59.104923489404925,48.149762043556464
A121,57.540236932868204,46.82293000291557
A1218,58.120620008978165,47.53178127990981
A130,57.83313499940864,46.58584935545912
A137,58.36037025388301,47.00816118127235
A139,58.832383576263496,48.023890752413514
A157,60.42566106814532,49.94356519039412
A160,58.11796506147424,46.966835207074126
A162,58.283144662236346,47.43897853521894
A197,60.11670333794831,49.05317123124425
A206,57.210409920005056,46.17970633975991
A217,58.42352285459413,47.91662397333048
A242,56.99139297086302,46.453307944529605
A259,56.39670162007666,45.874043316263354
A290,59.64803164656332,48.28078358496719
A314,59.300420681121736,47.405027319805136
A337,59.76205211900427,48.94292610465223
A919,60.42744379006277,49.148824186979795
A927,59.2966292482203,48.411554098164714
A953,59.15102182781824,48.313611146465114
