subject,fold,1,2,3,4,5,6,7,8,9,10,feature drop rate,heuristic quality,planning depth,elo
150:R_3ilNhJufw9u0JJr,4,2.4134,0.0011907,0.34198,0.051211,0.84373,0.97036,0.6089,-0.0765,3.7077,9.8338,0.34198,0.4995341530035107,6.58836,-79
150:R_3ilNhJufw9u0JJr,5,4.4013,0.0012839,0.29307,0.064224,0.78655,1.013,1.0964,-0.070087,4.3571,9.7768,0.29307,0.5189797307102667,6.04163,-79
152:R_XEQd4AtPvWuAWnT,1,1.9989,0.019989,0.44995,0.05,1.2002,0.80078,1.001,0.40039,3.501,10.0,0.44995,0.48542674298094296,2.83351,-27
152:R_XEQd4AtPvWuAWnT,2,1.6901,0.030969,0.20086,0.11129,0.88379,0.88369,1.0005,-0.81743,3.7652,7.825,0.20086,0.4481046105124653,2.4405,-27
152:R_XEQd4AtPvWuAWnT,3,2.0453,0.0030677,0.38486,0.1051,0.99721,0.9741,0.98426,0.10715,3.9152,9.9443,0.38486,0.5017126376465988,5.4531,-27
152:R_XEQd4AtPvWuAWnT,4,1.659,0.01799,0.45089,0.062337,1.0069,0.86134,1.1613,-0.12039,3.9755,9.8228,0.45089,0.4929172009827094,3.44146,-27
152:R_XEQd4AtPvWuAWnT,5,3.0947,0.11418,0.29334,0.055969,1.0353,1.3236,1.0288,-0.58575,5.1341,7.2883,0.29334,0.4633286822678645,0.894163,-27
156:R_2TTetTXWqRwQOGb,1,1.2106,0.41534,0.52357,0.058556,1.2681,0.44189,1.1475,-0.62286,4.4415,10.0,0.52357,0.4463245523922248,0.471981,-100
156:R_2TTetTXWqRwQOGb,2,1.7984,0.033696,0.62148,0.13607,2.4632,0.45044,1.956,-0.90977,3.3915,9.923,0.62148,0.26476076018979006,2.972,-100
156:R_2TTetTXWqRwQOGb,3,2.0203,0.16081,0.14222,0.18201,0.97457,0.48571,1.0244,-0.58145,4.2208,9.991,0.14222,0.491692211049671,0.670741,-100
156:R_2TTetTXWqRwQOGb,4,1.0931,0.94963,0.40238,0.055314,0.86997,0.2983,0.9325,0.18046,4.3278,10.0,0.40238,0.5859449845344503,0.0162897,-100
156:R_2TTetTXWqRwQOGb,5,0.67372,0.13688,0.40384,0.05,1.077,0.47445,1.1873,0.022723,3.6525,10.0,0.40384,0.5019258891176502,1.86676,-100
166:R_9Nac2hjg6u7BlS1,1,0.38079,0.02162,0.10607,0.050005,2.6401,9.5265,-5.3274,9.9993,-0.19382,-7.7934,0.10607,0.021525094394375496,13.0646,-154
166:R_9Nac2hjg6u7BlS1,2,0.10059,0.0019823,0.00062359,0.051282,1.7906,-9.8145,-8.5102,5.8862,-7.9941,-8.9888,0.00062359,0.23932358569367876,17.6367,-154
166:R_9Nac2hjg6u7BlS1,3,5546.1,0.87601,0.37382,0.097072,0.48875,0.40267,1.9637,-0.54164,4.311,9.9999,0.37382,0.5022245910801968,0.0195914,-154
166:R_9Nac2hjg6u7BlS1,4,4.6558,0.068841,0.36773,0.06735,0.50982,0.068593,1.1142,0.63792,5.8966,10.0,0.36773,0.6977182169929136,0.983236,-154
166:R_9Nac2hjg6u7BlS1,5,3.3125,0.0048744,0.42296,0.061078,1.0372,0.24915,0.81608,-1.0874,2.8808,9.2252,0.42296,0.3937509216975581,3.47174,-154
171:R_1Qck2ykGDls2DLz,1,1.5216,0.03361,0.38255,0.051594,0.75468,0.84314,1.1983,-0.36664,3.4767,7.5504,0.38255,0.48207198637774273,2.58283,-133
171:R_1Qck2ykGDls2DLz,2,3.6557,0.0063916,0.44234,0.068883,0.94026,0.48866,1.4666,-0.52093,4.3247,7.1135,0.44234,0.48800214784027635,3.52888,-133
171:R_1Qck2ykGDls2DLz,3,0.85008,0.008338,0.20785,0.064392,0.25,0.78539,1.1799,0.020648,3.2297,9.9999,0.20785,0.4704938790301072,6.76702,-133
171:R_1Qck2ykGDls2DLz,4,3.7788,0.004856,0.40445,0.054234,1.1569,0.78211,0.98697,-1.1288,4.0228,9.0749,0.40445,0.4114391555199978,3.83072,-133
171:R_1Qck2ykGDls2DLz,5,2.4572,0.01415,0.42409,0.05,0.81288,0.8768,1.3299,-0.59613,3.0288,9.9988,0.42409,0.4309075878807406,2.72884,-133
175:R_2vjnTMhG0Bpa7wq,1,7.8306,0.0032844,0.1841,0.069172,0.92582,0.97673,1.123,0.74054,5.103,9.9997,0.1841,0.5572708542165716,3.89675,30
175:R_2vjnTMhG0Bpa7wq,2,35.279,0.001443,0.32997,0.062803,0.94731,0.40484,0.91271,-3.7849,4.8925,9.5809,0.32997,0.2810348514098237,5.70496,30
175:R_2vjnTMhG0Bpa7wq,3,0.70638,0.95031,0.32641,0.053191,1.0609,0.67102,0.98807,0.23108,3.8549,9.6376,0.32641,0.5215512033367857,0.0230026,30
175:R_2vjnTMhG0Bpa7wq,4,11.188,0.022884,0.10427,0.0539,0.69451,0.6743,0.94861,-0.026816,5.1594,9.994,0.10427,0.5849880062739714,1.53794,30
175:R_2vjnTMhG0Bpa7wq,5,1.9989,0.63209,0.19995,0.05,1.2002,0.80078,1.001,0.40039,3.501,10.0,0.19995,0.48542674298094296,0.100182,30
179:R_2xV1IwgJyplwuvp,1,5.7812,0.28974,0.22397,0.13898,1.622,0.36583,0.72404,-0.8823,3.127,2.3803,0.22397,0.36693306586076985,0.0956585,-291
179:R_2xV1IwgJyplwuvp,2,15.783,0.1891,0.28662,0.051088,1.1238,0.42896,1.3092,-0.85983,6.0716,9.9531,0.28662,0.4726321622052574,0.104506,-291
179:R_2xV1IwgJyplwuvp,3,1.3048,0.090254,0.53721,0.2501,1.3866,0.036533,1.2204,-0.19431,5.1615,10.0,0.53721,0.4532638120695974,1.62463,-291
179:R_2xV1IwgJyplwuvp,4,0.45111,0.025024,2.3131e-05,0.050017,1.6149,-7.2422,-2.6033,9.9799,1.1041,-4.5976,2.3131e-05,0.08473769045047976,11.8491,-291
179:R_2xV1IwgJyplwuvp,5,1072.8,0.4397,0.24263,0.076924,0.88273,0.89514,0.8916,-1.4902,4.8379,5.4997,0.24263,0.4258891289647164,0.037012,-291
180:R_1OGFPUUh0z8rWBh,1,1.3097,0.09496,0.21338,0.05,2.0886,-0.4541,1.2354,-1.2305,5.3857,9.9121,0.21338,0.3199159667388747,1.84039,-6
180:R_1OGFPUUh0z8rWBh,2,0.1003,0.039386,0.36235,0.05,2.0931,-2.2318,1.2007,-1.2924,4.3105,9.9969,0.36235,0.22658369060804257,3.49467,-6
180:R_1OGFPUUh0z8rWBh,3,0.42638,0.22851,0.38686,0.05,2.5256,-1.6122,1.1774,-2.7059,4.5762,9.9853,0.38686,0.2120383918864794,1.53373,-6
180:R_1OGFPUUh0z8rWBh,4,48.29,0.71977,0.36937,0.054073,3.9994,-0.94621,1.1873,-8.4842,4.3459,6.1158,0.36937,0.14896050933420205,0.0149216,-6
180:R_1OGFPUUh0z8rWBh,5,0.15845,0.018631,0.45167,0.10439,1.9864,-5.9292,1.35,-2.1638,5.8132,9.9723,0.45167,0.13223045042364764,5.1743,-6
181:R_3fDgQlApbcv1n4e,1,19.989,0.63209,0.19995,0.05,1.2002,0.80078,1.001,0.40039,3.501,10.0,0.19995,0.48542674298094296,0.00496169,152
181:R_3fDgQlApbcv1n4e,2,2.0293,0.96776,0.26559,0.05,1.2075,0.77797,0.916,0.53267,3.9546,9.6337,0.26559,0.5010420698815125,0.00578256,152
