subject,fold,1,2,3,4,5,6,7,8,9,10,feature drop rate,heuristic quality,planning depth,elo
150:R_3ilNhJufw9u0JJr,3,6.5535,0.68289,0.46077,0.050611,0.51863,0.72294,1.6016,-0.18743,4.8234,9.8141,0.46077,0.5515161027551412,3.14907,-75
150:R_3ilNhJufw9u0JJr,4,1.9989,0.63209,0.19995,0.05,0.4502,0.80078,1.001,0.40039,3.501,10.0,0.19995,0.554885133299538,6.58836,-75
150:R_3ilNhJufw9u0JJr,5,9.2543,0.005649,0.44396,0.083212,1.1772,1.1018,1.2482,-2.2256,4.0247,9.6631,0.44396,0.3294965700463966,6.04163,-75
152:R_XEQd4AtPvWuAWnT,1,0.29625,0.059793,0.36287,0.050112,0.74589,0.98959,0.93682,-0.45219,3.4937,9.232,0.36287,0.46569304012900076,2.83351,-10
152:R_XEQd4AtPvWuAWnT,2,1.5648,0.020008,0.53752,0.05,1.0284,1.4432,1.6502,0.35044,4.9552,9.8431,0.53752,0.48129623607684685,2.4405,-10
152:R_XEQd4AtPvWuAWnT,3,2.6441,0.0010346,0.36164,0.059175,0.60641,1.1605,1.318,-1.8533,3.1283,9.0635,0.36164,0.329171461658606,5.4531,-10
152:R_XEQd4AtPvWuAWnT,4,2.7254,0.0011326,0.31833,0.062495,0.53073,1.162,1.6272,-2.2343,3.4274,9.6025,0.31833,0.3202208149902405,3.44146,-10
152:R_XEQd4AtPvWuAWnT,5,1.494,0.0070702,0.094351,0.079415,0.58765,1.2057,0.85424,-0.54124,3.0434,10.0,0.094351,0.4059644822234259,0.894163,-10
156:R_2TTetTXWqRwQOGb,1,0.12992,0.0038425,0.44421,0.068106,1.2659,0.70271,0.93464,-2.2667,4.3863,9.9952,0.44421,0.33253227691711373,0.471981,-145
156:R_2TTetTXWqRwQOGb,2,63.109,0.98157,0.56708,0.063856,1.2953,0.59588,1.5607,-0.242,6.1426,9.9697,0.56708,0.4703415099710665,2.972,-145
156:R_2TTetTXWqRwQOGb,3,0.42407,0.16236,0.39811,0.07267,1.1547,0.70426,1.1255,-0.44827,4.9126,9.9917,0.39811,0.47921492971954516,0.670741,-145
156:R_2TTetTXWqRwQOGb,4,0.10568,0.055309,0.34197,0.055038,1.4953,0.67203,0.76745,-0.83664,3.6932,9.6903,0.34197,0.3977993010414774,0.0162897,-145
156:R_2TTetTXWqRwQOGb,5,1.0756,0.12955,0.3408,0.059272,1.6381,0.70702,0.7509,-1.4736,3.4882,9.9599,0.3408,0.3315686450521015,1.86676,-145
166:R_9Nac2hjg6u7BlS1,1,0.60634,1.0,0.0,0.05,3.1955,8.4387,2.7951,9.9924,7.4405,1.4264,0.0,0.14949695033052932,13.0646,-125
166:R_9Nac2hjg6u7BlS1,2,2.1502,0.022958,0.21795,0.050205,0.28264,-0.13496,1.6364,0.060411,2.6506,8.8117,0.21795,0.4641406730558027,17.6367,-125
166:R_9Nac2hjg6u7BlS1,3,1.8504,0.018111,0.25716,0.050757,0.51283,-0.030283,1.2526,0.016868,4.1409,6.7669,0.25716,0.6148711145952191,0.0195914,-125
166:R_9Nac2hjg6u7BlS1,4,6.4158,0.4014,0.38811,0.05,0.58272,-0.57404,2.8265,0.68604,6.7062,8.67,0.38811,0.5686985524674792,0.983236,-125
166:R_9Nac2hjg6u7BlS1,5,2.3956,0.0064958,0.23127,0.18122,0.82015,-0.081861,1.0629,0.036667,3.4977,9.9872,0.23127,0.5625813508314587,3.47174,-125
171:R_1Qck2ykGDls2DLz,1,8.3899,0.024205,0.36914,0.050069,0.2506,0.46116,2.2955,-1.4874,4.1102,9.9677,0.36914,0.3705986588830575,2.58283,-11
171:R_1Qck2ykGDls2DLz,2,1.9989,0.019989,0.19995,0.05,0.4502,0.80078,1.001,0.40039,3.501,10.0,0.19995,0.554885133299538,3.52888,-11
171:R_1Qck2ykGDls2DLz,3,17.909,0.17995,0.48098,0.14317,0.28105,1.06,3.2658,-4.2654,5.9403,2.5851,0.48098,0.2943476602432779,6.76702,-11
171:R_1Qck2ykGDls2DLz,4,22.959,0.10154,0.34924,0.063334,0.59182,0.83635,1.4645,0.39762,3.7814,9.577,0.34924,0.5462871159086151,3.83072,-11
171:R_1Qck2ykGDls2DLz,5,1.9989,0.019989,0.19995,0.05,0.4502,0.80078,1.001,0.40039,3.501,10.0,0.19995,0.554885133299538,2.72884,-11
175:R_2vjnTMhG0Bpa7wq,1,2.7478,0.0010071,0.36634,0.063751,0.28444,1.0493,1.8058,1.0829,7.133,9.8326,0.36634,0.5993521456028971,3.89675,77
175:R_2vjnTMhG0Bpa7wq,2,7.9538,0.001,0.43578,0.051106,0.68328,0.73539,1.3623,-0.18452,5.3243,6.5123,0.43578,0.5644420693643093,5.70496,77
175:R_2vjnTMhG0Bpa7wq,3,4.1343,0.0010009,0.28798,0.050616,0.59446,0.48541,1.1576,0.044949,3.3696,9.9698,0.28798,0.568217754199456,0.0230026,77
175:R_2vjnTMhG0Bpa7wq,4,9.7353,0.0074533,0.31984,0.057744,0.51848,1.1632,1.0846,0.12935,6.8304,4.6744,0.31984,0.5813349441477857,1.53794,77
175:R_2vjnTMhG0Bpa7wq,5,0.39447,0.024912,0.45486,0.050009,0.80849,0.8328,1.3484,0.81214,5.5317,9.9908,0.45486,0.5949772746073271,0.100182,77
179:R_2xV1IwgJyplwuvp,1,1.9113,0.0094535,0.47509,0.059847,0.74304,0.34619,1.1484,-2.3054,3.1687,7.071,0.47509,0.31555955093158644,0.0956585,-133
179:R_2xV1IwgJyplwuvp,2,9866.0,0.038197,0.41138,0.05,1.1182,-0.81055,2.9736,-7.5391,5.5078,9.9268,0.41138,0.19423547355709045,0.104506,-133
179:R_2xV1IwgJyplwuvp,3,1.8641,0.85661,0.0,0.05,3.9966,9.9212,-1.8742,10.0,-6.6031,-8.8966,0.0,0.11575342486869888,1.62463,-133
179:R_2xV1IwgJyplwuvp,4,0.1,0.0014037,0.00023936,0.050466,1.2174,2.4858,-8.1978,6.9168,-5.5261,-9.9983,0.00023936,0.18623725408380754,11.8491,-133
179:R_2xV1IwgJyplwuvp,5,16.767,0.96737,0.59795,0.18472,1.0864,0.17802,2.7464,-0.82404,6.4988,0.95838,0.59795,0.44465680583604683,0.037012,-133
180:R_1OGFPUUh0z8rWBh,1,0.14843,0.0028784,0.14067,0.050169,1.7207,-9.3359,-6.8213,9.5724,1.6167,-4.3927,0.14067,0.1044076969261211,1.84039,-160
180:R_1OGFPUUh0z8rWBh,2,1.9989,0.019989,0.44995,0.05,1.2002,0.80078,1.001,0.40039,3.501,10.0,0.44995,0.48542674298094296,3.49467,-160
180:R_1OGFPUUh0z8rWBh,3,0.1819,0.99771,0.00067159,0.050118,1.0545,-9.9426,-5.6719,9.4221,-9.5195,-9.4063,0.00067159,0.23954552208145896,1.53373,-160
180:R_1OGFPUUh0z8rWBh,4,0.45311,0.073298,0.66205,0.061522,1.2421,0.50978,1.1498,-1.2715,3.9231,9.7564,0.66205,0.3885591207404155,0.0149216,-160
180:R_1OGFPUUh0z8rWBh,5,0.14731,0.047286,0.14819,0.050412,1.9745,-7.6752,-3.9603,9.9777,-4.8964,-6.7453,0.14819,0.17917376631636883,5.1743,-160
181:R_3fDgQlApbcv1n4e,1,1.3339,0.015966,0.48974,0.050014,2.4438,0.70239,0.87138,0.68039,5.8415,8.2787,0.48974,0.34252069632238547,0.00496169,215
181:R_3fDgQlApbcv1n4e,2,2.707,0.0035786,0.31036,0.050072,1.1516,0.6448,1.021,0.55378,3.7274,10.0,0.31036,0.5116052980948002,0.00578256,215
181:R_3fDgQlApbcv1n4e,3,2.4798,0.085688,0.27849,0.09839,1.799,0.65214,1.0199,0.50426,4.2914,9.8041,0.27849,0.40281059457513513,0.00083911,215
181:R_3fDgQlApbcv1n4e,4,2.2912,0.022071,0.18958,0.051356,1.3647,0.79666,1.1079,0.084824,3.8311,9.6334,0.18958,0.4533644835476268,1.43878,215
181:R_3fDgQlApbcv1n4e,5,1343.8,0.99997,0.58677,0.056688,2.8944,0.62556,1.1429,0.56206,7.3051,7.1106,0.58677,0.31044237038278427,3.6483e-05,215
182:R_3NEgCFlK1BFSmdZ,1,0.87965,0.99983,0.31907,0.050046,1.2021,-0.098003,1.4898,0.59522,3.7924,9.9434,0.31907,0.47377182010906166,0.0418278,290
182:R_3NEgCFlK1BFSmdZ,2,0.26396,0.25002,0.30491,0.050028,1.7639,0.20863,1.2747,0.25222,3.8894,10.0,0.30491,0.38732320593326286,2.1091,290
182:R_3NEgCFlK1BFSmdZ,3,0.24035,0.0079713,0.41914,0.051056,1.5848,0.19932,1.3391,0.16255,4.2532,9.9999,0.41914,0.41749151351052455,0.0542868,290
182:R_3NEgCFlK1BFSmdZ,4,3.0699,0.085183,0.27287,0.05,2.5153,0.79505,1.2515,0.10868,3.7222,9.1337,0.27287,0.3098968722852078,0.0,290
182:R_3NEgCFlK1BFSmdZ,5,0.2496,0.082855,0.34798,0.051453,1.5508,0.065182,0.94986,-0.034914,3.0467,9.0426,0.34798,0.4167490008954921,4.15035,290
183:R_2uPQbPniskmS0Ep,1,4.9311,0.77432,0.4624,0.070439,1.1836,-0.094595,1.3462,-0.95071,4.2221,9.8486,0.4624,0.4134052397135726,5.91996,227
183:R_2uPQbPniskmS0Ep,2,0.15187,0.0030412,0.44512,0.052782,1.6608,0.15246,1.1592,-2.2824,3.5378,8.0239,0.44512,0.2720681845730203,1.27023,227
183:R_2uPQbPniskmS0Ep,3,3.3719,0.3605,0.23083,0.079268,1.4539,0.078446,1.3316,-0.31041,4.2126,9.9798,0.23083,0.42020415026937735,3.05841,227
