,subject,fold,1,2,3,4,5,6,7,8,9,10
90,Sub175_vs_Level110,1,3.1394,0.0034868,0.12608,0.050495,0.75718,0.62791,1.3839,0.43029,4.5794,9.8031
91,Sub175_vs_Level110,2,3.1255,0.0039497,0.12432,0.050001,0.87157,0.20847,1.3092,0.66441,4.4034,9.9056
92,Sub175_vs_Level110,3,2.6264,0.0057464,0.090164,0.050182,0.97857,0.65615,1.2875,-0.10546,4.3075,9.9994
93,Sub175_vs_Level110,4,2.3155,0.0063551,0.14869,0.082643,0.96273,0.70185,1.2406,-0.08006,4.1223,9.9476
94,Sub175_vs_Level110,5,1.4886,0.010144,0.084221,0.077939,0.85404,0.58714,1.0751,0.16923,3.2779,9.8743
95,Sub175_vs_Level118,1,3.0706,0.0068629,0.11989,0.064162,1.1382,1.232,1.2707,0.31879,4.8977,9.9514
96,Sub175_vs_Level118,2,3.4699,0.0090985,0.070691,0.069762,1.0782,0.93513,1.0941,-0.26031,4.2312,7.055
97,Sub175_vs_Level118,3,2.9962,0.016881,0.17207,0.053018,0.87006,0.9326,1.419,0.2318,5.2772,9.9687
98,Sub175_vs_Level118,4,2.0956,0.0089905,0.054159,0.052198,0.75614,0.8831,1.101,0.3719,4.2482,8.82
99,Sub175_vs_Level118,5,3.0342,0.0057944,0.014787,0.050157,1.0242,0.85725,1.089,0.2284,3.7649,6.5342
100,Sub175_vs_Level92,1,2.0257,0.0010037,0.0029789,0.05056,0.59159,0.84844,1.2974,0.28018,4.4143,9.9414
101,Sub175_vs_Level92,2,2.5561,0.010425,0.0028048,0.05008,0.8269,0.8942,1.2367,0.9206,4.6437,9.6827
102,Sub175_vs_Level92,3,2.2364,0.0010376,0.0011038,0.050913,0.69293,0.80631,1.2291,0.34322,4.5629,9.9389
103,Sub175_vs_Level92,4,3.4343,0.0011798,0.074715,0.053481,0.85779,0.82575,1.4076,0.77983,4.9024,9.2324
104,Sub175_vs_Level92,5,3.3299,0.0010068,0.050203,0.050596,0.7237,0.94991,1.2351,-0.12514,4.7311,8.8591
105,Sub196_vs_Level110,1,4.4263,0.012235,0.22024,0.061169,0.51587,0.50288,0.85421,-0.36505,2.084,6.663
106,Sub196_vs_Level110,2,17.765,0.032316,0.2842,0.057967,0.77366,1.0283,1.1896,0.30434,3.9277,4.2912
107,Sub196_vs_Level110,3,1.9856,0.038291,0.27699,0.050341,0.65967,0.77303,0.96865,0.60106,3.0831,9.7997
108,Sub196_vs_Level110,4,4.6644,0.032976,0.34955,0.050309,0.35546,0.83014,0.98011,0.31259,3.108,9.9833
109,Sub196_vs_Level110,5,5.9626,0.023268,0.23363,0.052502,0.38645,0.44731,0.9908,-0.13875,3.9891,4.5697
110,Sub196_vs_Level118,1,0.16198,0.001726,4.7627e-07,0.051471,2.8974,7.4462,10,5.1591,-9.7893,-7.1785
111,Sub196_vs_Level118,2,7.7572,0.001,7.333e-08,0.050659,3.831,9.5685,9.6891,-8.3264,-8.0298,-9.4958
112,Sub196_vs_Level118,3,2.1144,0.0076179,0.56641,0.05,1.2097,0.25879,0.92285,0.74707,2.7051,10
113,Sub196_vs_Level118,4,0.1,0.0010411,0,0.054265,4,10,9.6631,-6.3901,-9.6021,-10
114,Sub196_vs_Level118,5,0.35912,0.24233,0,0.050028,3.7738,4.3802,6.4279,-10,-9.0198,-10
115,Sub196_vs_Level92,1,0.60565,0.99447,2.0728e-05,0.051534,0.78441,-9.892,-1.0075,8.4972,-7.1413,-9.9994
116,Sub196_vs_Level92,2,2.3683,0.0051289,7.3459e-06,0.050317,2.205,8.8637,-7.3082,-6.5977,-9.9077,3.5094
117,Sub196_vs_Level92,3,0.28926,0.001,7.7268e-07,0.050001,3.1693,10,10,-9.9997,-10,2.3748
118,Sub196_vs_Level92,4,2.2635,0.0014753,7.3195e-05,0.05,4,9.9946,9.7554,1.464,-8.8411,-8.7064
119,Sub196_vs_Level92,5,0.13213,0.66467,1.227e-06,0.05,1.363,-9.9957,-9.2748,9.5136,-9.9968,-4.6449
120,Sub199_vs_Level110,1,2.4368,0.011905,0.071443,0.050118,0.87084,0.1195,2.0043,0.6307,5.8641,9.7795
121,Sub199_vs_Level110,2,1.2343,0.0070051,0.015795,0.054774,0.67864,0.2828,1.231,-0.18055,3.7752,6.7004
122,Sub199_vs_Level110,3,1.4696,0.013461,0.13212,0.050315,0.72838,0.19896,2.0177,-0.00016919,5.4429,9.9327
123,Sub199_vs_Level110,4,1.5789,0.016306,0.20346,0.050456,0.91113,0.076378,1.5829,-0.11176,5.033,9.9658
124,Sub199_vs_Level110,5,2.1456,0.034287,0.29838,0.052671,1.0091,0.38616,1.476,-0.23349,4.4168,8.6782
125,Sub199_vs_Level118,1,2.9498,0.0099869,0.22618,0.050275,1.1514,0.019054,1.8708,0.53463,4.3579,9.4316
126,Sub199_vs_Level118,2,4.8559,0.008697,0.30261,0.050454,1.1236,-0.015844,2.4275,1.0662,5.8556,9.9458
127,Sub199_vs_Level118,3,2.1999,0.021127,0.0318,0.050846,1.031,0.25937,1.3739,0.28084,3.8705,9.9104
128,Sub199_vs_Level118,4,2.0043,0.010483,0.0017157,0.059342,1.0728,0.057394,1.4293,0.42554,3.8254,7.7354
129,Sub199_vs_Level118,5,1.5491,0.041603,0.017765,0.054269,0.82997,0.19074,1.4922,0.43105,4.5086,9.7133
130,Sub199_vs_Level92,1,3.0236,0.0069223,0.10832,0.051432,0.8549,0.2168,2.0138,0.7759,5.9698,9.9752
131,Sub199_vs_Level92,2,1.9795,0.0030932,0.14312,0.062521,0.69352,0.013405,1.77,0.07447,5.4352,9.9673
132,Sub199_vs_Level92,3,1.5087,0.019053,0.18719,0.05,0.72859,0.0021744,2.09,0.49562,4.5935,10
133,Sub199_vs_Level92,4,1.3145,0.024396,0.014133,0.053613,0.66677,0.2155,1.6436,0.56869,4.8674,9.6161
134,Sub199_vs_Level92,5,1.8403,0.012227,0.13749,0.050011,0.69382,0.28687,1.7599,0.13343,5.14,9.3855
135,Sub810_vs_Level110,1,1.577,0.0087359,0.2373,0.050002,0.91238,1.0085,1.1356,0.52046,4.4685,9.9998
136,Sub810_vs_Level110,2,2.9794,0.0079356,0.15479,0.050196,1.088,1.0852,0.87284,0.53767,3.7829,7.5965
137,Sub810_vs_Level110,3,1.7951,0.0026638,0.14334,0.074885,0.98797,1.2535,0.93796,1.2809,4.6819,9.9946
138,Sub810_vs_Level110,4,2.7975,0.0020082,0.25223,0.076221,1.1154,1.0426,0.95726,0.71244,5.4073,9.9989
139,Sub810_vs_Level110,5,4.2209,0.001009,0.19375,0.062781,0.95737,1.298,0.80044,0.78984,4.7109,9.9999
140,Sub810_vs_Level118,1,1.4375,0.020744,0.14871,0.089657,0.70788,0.64579,1.1467,0.47336,5.0451,9.9414
141,Sub810_vs_Level118,2,2.3998,0.0033843,0.074387,0.075084,0.95594,0.78681,1.171,0.59849,5.0804,10
